# instruction bytes -> MASM text, verified byte-identical by tools/verify_encodings.py.
# Regenerate with: py tools/verify_encodings.py --table data/encodings.tsv
cc	int 3
55	push ebp
8bec	mov ebp, esp
81ec94000000	sub esp, 94h
57	push edi
b908000000	mov ecx, 8
33c0	xor eax, eax
8d7dd0	lea edi, [ebp - 30h]
f3ab	rep stosd
8d55d0	lea edx, [ebp - 30h]
c7856cffffff64000000	mov dword ptr [ebp - 94h], 64h
c745d020000000	mov dword ptr [ebp - 30h], 20h
8b08	mov ecx, dword ptr [eax]
52	push edx
50	push eax
ff5154	call dword ptr [ecx + 54h]
8b45e4	mov eax, dword ptr [ebp - 1Ch]
5f	pop edi
3de0030000	cmp eax, 3E0h
8b451a	mov eax, dword ptr [ebp + 1Ah]
8b4d19	mov ecx, dword ptr [ebp + 19h]
25ff000000	and eax, 0FFh
81e1ff000000	and ecx, 0FFh
24f8	and al, 0F8h
83e1f8	and ecx, 0FFFFFFF8h
c1e005	shl eax, 5
0bc1	or eax, ecx
c1e002	shl eax, 2
8b5518	mov edx, dword ptr [ebp + 18h]
81e2ff000000	and edx, 0FFh
c1ea03	shr edx, 3
0bc2	or eax, edx
8945bc	mov dword ptr [ebp - 44h], eax
3de0070000	cmp eax, 7E0h
83e1fc	and ecx, 0FFFFFFFCh
c1e003	shl eax, 3
c745bcffffffff	mov dword ptr [ebp - 44h], 0FFFFFFFFh
8b4508	mov eax, dword ptr [ebp + 8]
8b5510	mov edx, dword ptr [ebp + 10h]
8b4d0c	mov ecx, dword ptr [ebp + 0Ch]
8945f0	mov dword ptr [ebp - 10h], eax
03c2	add eax, edx
8d956cffffff	lea edx, [ebp - 94h]
8945f8	mov dword ptr [ebp - 8], eax
8b4514	mov eax, dword ptr [ebp + 14h]
894df4	mov dword ptr [ebp - 0Ch], ecx
03c8	add ecx, eax
6800040001	push 1000400h
6a00	push 0
8d55f0	lea edx, [ebp - 10h]
894dfc	mov dword ptr [ebp - 4], ecx
ff5114	call dword ptr [ecx + 14h]
8be5	mov esp, ebp
5d	pop ebp
c3	ret
90	nop
51	push ecx
56	push esi
8b750c	mov esi, dword ptr [ebp + 0Ch]
85f6	test esi, esi
85c0	test eax, eax
33c9	xor ecx, ecx
33d2	xor edx, edx
668b4806	mov cx, word ptr [eax + 6]
668b5004	mov dx, word ptr [eax + 4]
83c420	add esp, 20h
8d0cb6	lea ecx, [esi + esi*4]
b849b4c2e6	mov eax, 0E6C2B449h
c1e107	shl ecx, 7
f7e9	imul ecx
03d1	add edx, ecx
68ba2c0dff	push 0FF0D2CBAh
c1fa08	sar edx, 8
8bc2	mov eax, edx
6a0a	push 0Ah
c1e81f	shr eax, 1Fh
03d0	add edx, eax
68c0010000	push 1C0h
685d010000	push 15Dh
83c414	add esp, 14h
5e	pop esi
d95dfc	fstp dword ptr [ebp - 4]
d9c0	fld st
db450c	fild dword ptr [ebp + 0Ch]
d945fc	fld dword ptr [ebp - 4]
dec9	fmulp st(1), st
6aff	push -1
64a100000000	mov eax, dword ptr fs:[0]
64892500000000	mov dword ptr fs:[0], esp
81ec98010000	sub esp, 198h
53	push ebx
b925000000	mov ecx, 25h
8dbd38ffffff	lea edi, [ebp - 0C8h]
83c404	add esp, 4
8d8538ffffff	lea eax, [ebp - 0C8h]
66c7855cffffff9400	mov word ptr [ebp - 0A4h], 94h
837da008	cmp dword ptr [ebp - 60h], 8
6a10	push 10h
6892020000	push 292h
84c0	test al, al
83c408	add esp, 8
5b	pop ebx
8b4df4	mov ecx, dword ptr [ebp - 0Ch]
64890d00000000	mov dword ptr fs:[0], ecx
8bc8	mov ecx, eax
33db	xor ebx, ebx
8d4de8	lea ecx, [ebp - 18h]
8d55ec	lea edx, [ebp - 14h]
8b45ec	mov eax, dword ptr [ebp - 14h]
8b4de8	mov ecx, dword ptr [ebp - 18h]
83c424	add esp, 24h
8845e4	mov byte ptr [ebp - 1Ch], al
83c9ff	or ecx, 0FFFFFFFFh
f2ae	repne scasb
f7d1	not ecx
2bf9	sub edi, ecx
8bd1	mov edx, ecx
8bf7	mov esi, edi
c1e902	shr ecx, 2
f3a5	rep movsd
8bca	mov ecx, edx
83e103	and ecx, 3
f3a4	rep movsb
6864020000	push 264h
6865020000	push 265h
8d4df3	lea ecx, [ebp - 0Dh]
c645f300	mov byte ptr [ebp - 0Dh], 0
83c418	add esp, 18h
68fa000000	push 0FAh
68e0010000	push 1E0h
6880020000	push 280h
83c41c	add esp, 1Ch
663d1104	cmp ax, 411h
663d0404	cmp ax, 404h
663d1204	cmp ax, 412h
8d8d5cfeffff	lea ecx, [ebp - 1A4h]
8d4dcc	lea ecx, [ebp - 34h]
c745fc00000000	mov dword ptr [ebp - 4], 0
c645fc01	mov byte ptr [ebp - 4], 1
6a01	push 1
8d855cfeffff	lea eax, [ebp - 1A4h]
6800000002	push 2000000h
8b75e4	mov esi, dword ptr [ebp - 1Ch]
bb01000000	mov ebx, 1
6a4a	push 4Ah
c645fc00	mov byte ptr [ebp - 4], 0
c745fcffffffff	mov dword ptr [ebp - 4], 0FFFFFFFFh
68f6000000	push 0F6h
83ec08	sub esp, 8
