va	mangled	size	code	class	name
00401000	__setargv	16	1		__setargv
00401010	?ProgressRect@@YAXHHHHI@Z	224	1		ProgressRect
004010F0	?ProgressCB@@YAXPBDH@Z	240	1		ProgressCB
004011E0	?Main@@YAHXZ	1200	1		Main
00401690	?InitDirectDraw@@YAXXZ	64	1		InitDirectDraw
004016D0	?MainPhase@@YAX_NH@Z	816	1		MainPhase
00401A00	?GameLoop@@YAX_N@Z	160	1		GameLoop
00401AA0	?BeginPhase@@YAX_N@Z	816	1		BeginPhase
00401DD0	?GetLoadScreenName@@YAXPBD@Z	160	1		GetLoadScreenName
00401E70	?InitAudioManager@@YAX_N@Z	336	1		InitAudioManager
00401FC0	?EndPhase@@YAXXZ	256	1		EndPhase
004020C0	?KillAudioManager@@YAXXZ	48	1		KillAudioManager
004020F0	?RestoreFocus@@YAXXZ	144	1		RestoreFocus
00402180	?CreateGameMutex@@YAXPBD@Z	80	1		CreateGameMutex
004021D0	?CheckGlobalMemory@@YAXXZ	128	1		CheckGlobalMemory
00402250	?CheckDiskSpace@@YAXXZ	96	1		CheckDiskSpace
004022B0	?ExceptMain@@YAHXZ	144	1		ExceptMain
00402340	?ArchInit@@YAXHPAPAD@Z	16	1		ArchInit
00402350	?ageProcessEvents@@YAXXZ	16	1		ageProcessEvents
00402360	_main	624	1		_main
004025D0	nullsub_267	16	1		nullsub_267
004025E0	nullsub_268	16	1		nullsub_268
004025F0	nullsub_269	16	1		nullsub_269
00402600	??_H@YGXPAXIHP6EX0@Z@Z	48	1		`vector constructor iterator'
00402630	?ageDebug@@YAXHPBDZZ	16	1		ageDebug
00402640	ImmDestroyContext	6	1		ImmDestroyContext
00402646	ImmAssociateContext	6	1		ImmAssociateContext
0040264C	ImmGetContext	6	1		ImmGetContext
00402652	GetSystemDefaultLangID	6	1		GetSystemDefaultLangID
00402658	WaitForSingleObject	6	1		WaitForSingleObject
0040265E	CreateMutexA	6	1		CreateMutexA
00402664	GlobalMemoryStatus	6	1		GlobalMemoryStatus
0040266A	GetDiskFreeSpaceA	6	1		GetDiskFreeSpaceA
00402670	OutputDebugStringA	6	1		OutputDebugStringA
00402676	GetProcAddress	6	1		GetProcAddress
0040267C	LoadLibraryA	6	1		LoadLibraryA
00402682	MessageBoxA	6	1		MessageBoxA
00402688	EnumDisplaySettingsA	6	1		EnumDisplaySettingsA
0040268E	SetFocus	6	1		SetFocus
00402694	ChangeDisplaySettingsA	6	1		ChangeDisplaySettingsA
